Test/60,[-1.8547131 -2.7010908  3.3321142  0.8159615 -0.6154617 -0.6978942
  2.3409111  2.0437808],
Test/68,[-2.3071005   0.9180984  -0.16338341 -0.62370133  0.16376632 -1.8139111
 -1.7836772   3.2983694 ],
Test/497,[ 1.0356561  -1.0916135  -0.19260769  0.35269004  2.8737655   0.013227
  4.3651104   3.5701234 ],
Test/780,[-0.3858304 -1.1867471 -1.110433   2.6493888  1.0215409 -2.2426984
 -1.6507657  1.9406241],
Test/278,[-2.8458831  -2.071412    1.0074342   0.8148109  -0.65772736 -3.3576741
  4.687762    1.311692  ],
Test/467,[-1.4381235  -0.28084448  1.061256   -0.5638125   0.51699394  0.6346553
  4.355871    3.0304308 ],
Test/691,[-0.21917109 -2.243783    3.781593   -1.7713761  -1.1550218  -5.2951427
  2.736446    1.282367  ],
Test/44,[-0.26581234 -0.9762789   1.8301259  -1.6486726  -1.9433488  -3.3491135
  3.802409   -1.0951139 ],
Test/820,[-3.2761047  -2.3673682   1.1556768  -0.38673526 -0.11662352 -0.07644358
  3.110678    2.1500168 ],
Test/521,[ 0.304082  -1.9156489 -4.00521   -1.0849586  1.8854843 -1.1201608
  1.7820762  1.7901461],
Test/686,[-3.4752905 -3.2019324  0.565149  -2.2263856  1.3040411 -3.8757899
  2.342387   2.5226243],
Test/273,[-6.7828174 -5.211277   2.4728634 -2.0699887 -2.7782474 -1.6417869
  3.6085865  3.197981 ],
Test/207,[-0.44055688  0.22435778  1.184635   -1.7569888   2.2294264   2.3047974
  4.766648    2.9232035 ],
Test/299,[-0.7587416  -3.4924994   4.4364796   0.25475538 -1.7298459  -2.1637404
  2.6817598   3.7580342 ],
Test/302,[ 0.20453621 -0.19161431 -0.7932858   2.0253341   3.906292   -5.173102
  3.9952464   0.8389119 ],
Test/216,[-1.9965225  -0.14670956  4.34939     0.5380077   2.9466023  -2.4478316
  3.4981878  -0.8905422 ],
Test/272,[-6.249803    0.21722555  3.4392622  -2.8220587  -0.51237917 -1.0800041
  3.8478324   4.0153646 ],
Test/447,[-3.6366298  -3.6299944   2.5636334  -0.5476869  -0.47759724 -2.1857293
  3.6659005   3.3584545 ],
Test/507,[-1.2104485   0.34632844  0.13294311 -3.9871883  -0.1929376   0.7915068
  6.662741    1.9211577 ],
Test/891,[-0.91345495 -2.745596   -0.05195488 -1.6094184  -0.44358885 -2.6791856
  1.3781965   2.0064344 ],
Test/991,[-1.431531   -1.5094004   0.34418094 -1.033093   -0.6061342  -0.43500102
  4.8736124   0.21551181],
Test/909,[-0.27410877 -0.4883626   3.0832987  -1.2422018   1.8399885  -3.2297466
  4.67108     5.8514905 ],
Test/218,[-2.4417348   2.40309     1.8498081  -3.4577289   4.2244825   0.30945653
 -1.304162    0.6510824 ],
Test/470,[-1.9345936   1.5936414   0.66075104  1.2862712  -0.96339905 -2.9292154
  1.9397519   0.26696286],
Test/151,[-3.1247137  -0.6538891   1.851923   -0.13978899  0.58468896 -8.060481
  0.04805371  1.5379504 ],
Test/727,[-4.303086   -0.36275786  1.6368941  -0.29895985 -0.74730265 -0.6999494
  0.38992575 -0.0964414 ],
Test/116,[-3.040734  -4.317511   1.7060105 -3.201163   0.1700784 -3.1838624
  2.8860781 -1.4771711],
Test/338,[-0.9861566  -3.2009616   1.3392501  -1.1958561   2.3115377  -1.7095935
  3.2129843   0.45080796],
Test/176,[-7.109337  -1.949372   1.4584283  1.6433568  2.8551054 -1.3546143
  6.47949    1.7253879],
Test/583,[ 1.236631   -2.9503424  -0.39393824  1.6840348  -0.8809022  -0.917406
  3.2858098   1.3760444 ],
Test/697,[-6.409794   -3.5435605  -1.4111893  -0.7822097   0.51486623 -0.31967717
  0.59418154  5.3386836 ],
Test/306,[-3.9360473  -3.1868868  -0.545279   -1.7473115  -0.16630471 -4.0751004
  2.889248    0.29387793],
Test/667,[-0.5518023 -1.4812989 -0.7342762 -1.1178212  2.2572412 -1.6603111
  1.7450266  2.9162126],
Test/919,[-0.56678534 -3.1745477   2.721845    1.1445422  -0.672434   -1.2955021
  4.314299    1.43205   ],
Test/197,[-0.87467325 -0.19144554 -1.9678509  -1.6679422   0.1544322   2.0415568
  4.3975806   2.7385044 ],
Test/248,[-4.429334   -2.1061065   2.8863192   0.11395348  2.2718039  -3.8766117
  4.691506   -1.7912108 ],
Test/90,[-3.3122766  -1.5111368   0.86591846 -1.8097148   0.941408   -1.0432254
  6.8849483   5.3561172 ],
Test/865,[-1.1106606  0.638311  -0.962154   2.5441492  1.1801409  1.5243121
  6.0867043  1.7171248],
Test/136,[-2.6816463  -0.2158997   1.9479247  -1.2880797  -0.40406722 -5.2978
  0.5827086   2.5287488 ],
Test/122,[-3.0157187 -2.2010114  2.2119937 -2.1874743  0.9546174 -2.7466724
  2.6619155  1.673273 ],
Test/160,[-1.7063869  -1.7898908   1.9346375   1.839465   -2.5461245  -1.6094621
  2.5999484   0.58299696],
Test/806,[-9.569052  -1.9668959  3.7278302  1.8538628  2.5754437 -5.1661806
  1.1751833  6.512005 ],
